Array Size,Key comparisons,Execution time 
540000,8023444,117
541000,8022276,115
542000,8017539,114
543000,8018967,125
544000,8014496,118
545000,8006026,118
546000,8002045,117
547000,7999871,117
548000,7993253,117
549000,7996605,115
550000,7988896,117
551000,7984389,117
552000,7982413,117
553000,7976986,120
554000,7976058,117
555000,7970082,120
556000,7966299,125
557000,7962801,144
558000,7979560,126
559000,7996204,121
560000,8010916,121
561000,8026114,138
562000,8044415,146
563000,8059302,123
564000,8075675,131
565000,8093020,121
566000,8108033,135
567000,8124172,130
568000,8141533,132
569000,8157386,122
570000,8170677,128
571000,8188441,122
572000,8204437,120
573000,8220731,138
574000,8237391,127
575000,8251895,122
576000,8268517,128
577000,8286493,123
578000,8301427,126
579000,8317284,121
580000,8332640,121
581000,8350104,127
582000,8366470,163
583000,8382094,147
584000,8395781,131
585000,8416487,145
586000,8430911,134
587000,8446210,126
588000,8461208,125
589000,8478273,135
590000,8494166,132
591000,8509036,167
592000,8528145,131
593000,8544486,126
594000,8563216,131
595000,8577813,130
596000,8597133,130
597000,8612151,139
598000,8628749,131
599000,8642522,133
600000,8660351,157
601000,8676934,134
602000,8693006,137
603000,8708538,131
604000,8726757,140
605000,8742664,132
606000,8761174,127
607000,8777581,138
608000,8792045,149
609000,8810884,140
610000,8825601,151
611000,8841344,144
612000,8859922,144
613000,8876616,153
614000,8895157,141
615000,8909391,150
616000,8926043,171
617000,8944385,142
618000,8959497,158
619000,8977229,150
620000,8989869,140
621000,9008956,138
622000,9023355,134
623000,9040603,138
624000,9058750,153
625000,9076044,133
626000,9091471,135
627000,9108090,132
628000,9123508,134
629000,9140638,142
630000,9157116,135
631000,9175316,140
632000,9191048,139
633000,9210418,138
634000,9224177,146
635000,9239959,136
636000,9256400,135
637000,9272504,137
638000,9287075,136
639000,9306578,149
640000,9322645,142
641000,9338832,137
642000,9357324,139
643000,9372346,140
644000,9391540,136
645000,9407149,145
646000,9422650,141
647000,9437454,143
648000,9452934,135
649000,9471118,140
650000,9488933,144
651000,9507449,138
652000,9521307,140
653000,9536791,144
654000,9553868,140
655000,9571491,139
656000,9588465,144
657000,9604098,146
658000,9622561,137
659000,9640055,141
660000,9656591,143
661000,9671863,138
662000,9690488,139
663000,9709007,146
664000,9724640,144
665000,9741738,143
666000,9760370,140
667000,9774159,142
668000,9791443,144
669000,9808009,141
670000,9825343,146
671000,9843408,141
672000,9859086,141
673000,9878522,143
674000,9893451,141
675000,9910418,145
676000,9927882,149
677000,9944595,147
678000,9961461,144
679000,9978788,144
680000,9999249,141
681000,10014854,148
682000,10027922,142
683000,10046145,146
684000,10063899,144
685000,10080500,144
686000,10101041,145
687000,10115000,145
688000,10132243,144
689000,10148568,146
690000,10167032,146
691000,10185024,143
692000,10201337,144
693000,10215959,150
694000,10231692,152
695000,10252560,150
696000,10271495,146
697000,10288120,151
698000,10300257,153
699000,10320755,198
700000,10335702,149
701000,10352296,154
702000,10372491,152
703000,10389759,155
704000,10406427,150
705000,10421907,155
706000,10438447,160
707000,10455416,159
708000,10474699,163
709000,10490300,157
710000,10504522,161
711000,10523489,154
712000,10541527,153
713000,10556283,168
714000,10571635,153
715000,10591968,157
716000,10609351,151
717000,10621908,154
718000,10641659,155
719000,10658297,157
720000,10675385,153
721000,10693948,154
722000,10712757,158
723000,10731103,155
724000,10748720,157
725000,10763717,152
726000,10783315,159
727000,10799194,153
728000,10813037,163
729000,10835913,155
730000,10850751,153
731000,10870074,160
732000,10888225,164
733000,10902327,170
734000,10921435,172
735000,10939246,192
736000,10953979,165
737000,10972402,162
738000,10994319,159
739000,11009739,158
740000,11025728,171
741000,11041215,165
742000,11061685,163
743000,11076312,157
744000,11095643,163
745000,11113050,170
746000,11131643,161
747000,11148513,197
748000,11163521,159
749000,11183216,162
750000,11199958,169
751000,11218715,159
752000,11234783,158
753000,11252042,158
754000,11268457,162
755000,11288901,177
756000,11306474,173
757000,11320262,165
758000,11339069,159
759000,11356277,165
760000,11373247,170
761000,11396004,174
762000,11410540,169
763000,11425921,162
764000,11444685,159
765000,11465432,167
766000,11479200,162
767000,11497319,164
768000,11512559,178
769000,11532877,169
770000,11550523,170
771000,11564270,188
772000,11582749,164
773000,11602117,166
774000,11619153,166
775000,11634953,163
776000,11651385,168
777000,11670471,169
778000,11683770,166
779000,11705216,162
780000,11722708,170
781000,11740716,166
782000,11755635,167
783000,11779206,166
784000,11794461,166
785000,11810670,167
786000,11829510,169
787000,11846922,179
788000,11861086,178
789000,11882335,171
790000,11898751,171
791000,11918170,171
792000,11937625,168
793000,11953406,171
794000,11972596,170
795000,11992549,167
796000,12008133,170
797000,12023335,173
798000,12039851,171
799000,12065718,171
800000,12080359,170
801000,12098133,170
802000,12118872,169
803000,12132718,173
804000,12149083,171
805000,12170049,172
806000,12188431,188
807000,12204663,172
808000,12221668,167
809000,12237607,174
810000,12253908,174
811000,12275737,175
812000,12290169,174
813000,12313393,171
814000,12330617,175
815000,12350509,178
816000,12362037,174
817000,12384160,175
818000,12400891,175
819000,12415431,170
820000,12440149,181
821000,12455729,179
822000,12474907,173
823000,12491786,175
824000,12507818,173
825000,12526220,173
826000,12544382,180
827000,12561309,183
828000,12582146,191
829000,12599336,188
830000,12616380,193
831000,12632304,183
832000,12653664,180
833000,12671045,185
834000,12684522,182
835000,12701878,176
836000,12723764,179
837000,12738456,182
838000,12758461,186
839000,12777529,177
840000,12794286,184
841000,12809111,193
842000,12828743,181
843000,12849292,177
844000,12866507,178
845000,12888307,181
846000,12901155,180
847000,12922007,178
848000,12935884,178
849000,12953366,181
850000,12974734,186
851000,12992057,198
852000,13009607,182
853000,13025663,184
854000,13044656,184
855000,13062308,183
856000,13081608,183
857000,13100144,182
858000,13122291,183
859000,13140530,195
860000,13155630,185
861000,13172271,183
862000,13192978,184
863000,13210134,179
864000,13231774,189
865000,13250579,185
866000,13268587,183
867000,13283409,190
868000,13298618,194
869000,13319620,188
870000,13340997,182
871000,13357779,191
872000,13377586,183
873000,13393370,190
874000,13416610,185
875000,13428334,188
876000,13449873,190
877000,13467032,195
878000,13489590,198
879000,13507464,190
880000,13526044,186
881000,13543686,184
882000,13564869,196
883000,13580750,193
884000,13595334,192
885000,13609649,186
886000,13631513,190
887000,13654682,190
888000,13671524,191
889000,13688171,198
890000,13714450,192
891000,13723013,189
892000,13742788,195
893000,13760236,195
894000,13780777,202
895000,13798431,191
896000,13814236,189
897000,13835149,194
898000,13854077,192
899000,13873173,199
900000,13892911,189
901000,13908520,199
902000,13927383,199
903000,13944839,194
904000,13967013,195
905000,13980149,200
906000,14000680,197
907000,14018734,193
908000,14036785,203
909000,14052285,194
910000,14076210,206
911000,14088801,198
912000,14108409,210
913000,14129207,204
914000,14148157,211
915000,14168128,202
916000,14183084,199
917000,14201513,219
918000,14216911,221
919000,14238999,209
920000,14257704,230
921000,14278968,217
922000,14298573,204
923000,14317641,203
924000,14334738,199
925000,14356633,203
926000,14372504,203
927000,14389474,206
928000,14408986,210
929000,14427249,198
930000,14450266,207
931000,14465201,208
932000,14484986,199
933000,14502148,196
934000,14522887,204
935000,14542104,206
936000,14556197,211
937000,14576005,207
938000,14600629,228
939000,14614097,209
940000,14638163,199
941000,14655375,203
942000,14674529,199
943000,14691392,205
944000,14708112,202
945000,14727362,209
946000,14745147,202
947000,14768161,206
948000,14785908,207
949000,14802566,203
950000,14821599,239
951000,14842313,209
952000,14860902,212
953000,14878988,201
954000,14900581,219
955000,14918334,211
956000,14935856,216
957000,14959215,212
958000,14973044,207
959000,14995161,215
960000,15014863,208
961000,15029646,208
962000,15048908,208
963000,15064451,207
964000,15082282,208
965000,15105640,203
966000,15121164,204
967000,15148030,210
968000,15163557,216
969000,15179162,208
970000,15200153,217
971000,15219015,208
972000,15232021,219
973000,15257530,217
974000,15275667,207
975000,15294354,214
976000,15310650,208
977000,15336235,214
978000,15355663,212
979000,15367601,214
980000,15386718,209
981000,15403719,214
982000,15425581,208
983000,15443327,210
984000,15462058,211
985000,15477537,213
986000,15502689,213
987000,15522519,210
988000,15540693,222
989000,15562037,210
990000,15579313,211
991000,15590337,255
992000,15621439,212
993000,15640410,213
994000,15653996,211
995000,15678355,213
996000,15693959,214
997000,15715641,214
998000,15733538,217
999000,15754715,223
1000000,15770167,213
